Taxa,Year,Quantity,Frequency,Kingdom,Phylum,Class,Order,Family,Genus,Species
Chaetodon lunula,2016,7,4,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon lunula
Chaetodon lunula,2017,8,3,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon lunula
Chaetodon lunula,2018,3,1,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon lunula
Chaetodon lunula,2019,2,1,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon lunula
Chaetodon madagaskariensis,2016,2,1,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon madagaskariensis
Chaetodon melannotus,2017,3,1,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon melannotus
Chaetodon rafflesii,2016,5,4,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon rafflesii
Chaetodon rafflesii,2017,1,1,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon rafflesii
Chaetodon rafflesii,2018,5,2,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon rafflesii
Chaetodon semeion,2015,2,1,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon semeion
Chaetodon trifascialis,2016,2,1,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon trifascialis
Chaetodon trifascialis,2019,2,1,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon trifascialis
Chaetodon ulietensis,2017,1,1,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon ulietensis
Chaetodon unimaculatus,2017,3,2,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon unimaculatus
Chaetodon xanthocephalus,2015,2,2,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon xanthocephalus
Chaetodon xanthocephalus,2016,1,1,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon xanthocephalus
Chaetodon xanthocephalus,2019,5,1,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon xanthocephalus
Chaetodon xanthurus,2018,4,1,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chaetodon,Chaetodon xanthurus
Chaetodontoplus melanosoma,2015,5,1,Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Chaetodontoplus,Chaetodontoplus melanosoma
Chaetodontoplus melanosoma,2016,5,1,Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Chaetodontoplus,Chaetodontoplus melanosoma
Chaetodontoplus melanosoma,2017,1,1,Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Chaetodontoplus,Chaetodontoplus melanosoma
Chaetodontoplus mesoleucus,2015,6,4,Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Chaetodontoplus,Chaetodontoplus mesoleucus
Chaetodontoplus mesoleucus,2017,19,3,Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Chaetodontoplus,Chaetodontoplus mesoleucus
Chaetodontoplus mesoleucus,2018,3,2,Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Chaetodontoplus,Chaetodontoplus mesoleucus
Chaetodontoplus mesoleucus,2019,7,3,Animalia,Chordata,Actinopterygii,Perciformes,Pomacanthidae,Chaetodontoplus,Chaetodontoplus mesoleucus
Chaetostoma thomsoni,2017,50,1,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Chaetostoma,Chaetostoma thomsoni
Chalceus macrolepidotus,2016,40,1,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Chalceus,Chalceus macrolepidotus
Chelmon rostratus,2015,116,18,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chelmon,Chelmon rostratus
Chelmon rostratus,2016,130,21,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chelmon,Chelmon rostratus
Chelmon rostratus,2017,182,33,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chelmon,Chelmon rostratus
Chelmon rostratus,2018,81,11,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chelmon,Chelmon rostratus
Chelmon rostratus,2019,72,12,Animalia,Chordata,Actinopterygii,Perciformes,Chaetodontidae,Chelmon,Chelmon rostratus
Chilodus punctatus,2018,260,2,Animalia,Chordata,Actinopterygii,Characiformes,Chilodontidae,Chilodus,Chilodus punctatus
Chitala chitala,2015,107,4,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Notopteridae,Chitala,Chitala chitala
Chitala chitala,2016,81,5,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Notopteridae,Chitala,Chitala chitala
Chitala chitala,2017,60,1,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Notopteridae,Chitala,Chitala chitala
Chitala chitala,2018,190,3,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Notopteridae,Chitala,Chitala chitala
Chitala chitala,2019,60,3,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Notopteridae,Chitala,Chitala chitala
Chitala ornata,2018,50,1,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Notopteridae,Chitala,Chitala ornata
Chitala ornata,2019,50,1,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Notopteridae,Chitala,Chitala ornata
Chlorostoma lischkei,2015,100,1,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Chlorostoma,Chlorostoma lischkei
Choerodon fasciatus,2019,6,1,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Choerodon,Choerodon fasciatus
Chromis analis,2015,2,1,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,Chromis analis
Chromis retrofasciata,2016,20,3,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,Chromis retrofasciata
Chromis retrofasciata,2018,10,1,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,Chromis retrofasciata
Chromis viridis,2015,620,17,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,Chromis viridis
Chromis viridis,2016,437,16,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,Chromis viridis
Chromis viridis,2017,615,18,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,Chromis viridis
Chromis viridis,2018,200,3,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,Chromis viridis
Chromis viridis,2019,234,8,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,Chromis viridis
Chromobotia macracanthus,2015,4900,37,Animalia,Chordata,Actinopterygii,Cypriniformes,Cobitidae,Chromobotia,Chromobotia macracanthus
Chromobotia macracanthus,2016,4540,36,Animalia,Chordata,Actinopterygii,Cypriniformes,Cobitidae,Chromobotia,Chromobotia macracanthus
Chromobotia macracanthus,2017,4340,36,Animalia,Chordata,Actinopterygii,Cypriniformes,Cobitidae,Chromobotia,Chromobotia macracanthus
Chromobotia macracanthus,2018,5340,39,Animalia,Chordata,Actinopterygii,Cypriniformes,Cobitidae,Chromobotia,Chromobotia macracanthus
Chromobotia macracanthus,2019,3265,24,Animalia,Chordata,Actinopterygii,Cypriniformes,Cobitidae,Chromobotia,Chromobotia macracanthus
Chrysiptera brownriggii,2016,2,1,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chrysiptera,Chrysiptera brownriggii
Chrysiptera cyanea,2018,18,1,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chrysiptera,Chrysiptera cyanea
Chrysiptera parasema,2015,10,1,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chrysiptera,Chrysiptera parasema
Chrysiptera parasema,2016,150,6,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chrysiptera,Chrysiptera parasema
Chrysiptera parasema,2017,91,6,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chrysiptera,Chrysiptera parasema
Chrysiptera parasema,2018,15,1,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chrysiptera,Chrysiptera parasema
Chrysiptera parasema,2019,21,3,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chrysiptera,Chrysiptera parasema
Chrysiptera talboti,2019,8,1,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chrysiptera,Chrysiptera talboti
Chrysiptera taupou,2019,15,2,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chrysiptera,Chrysiptera taupou
Cichlasoma sp.,2016,18,1,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Cichlasoma,NA
Cirrhilabrus cyanopleura,2015,25,6,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Cirrhilabrus,Cirrhilabrus cyanopleura
Cirrhilabrus cyanopleura,2016,23,5,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Cirrhilabrus,Cirrhilabrus cyanopleura
Cirrhilabrus cyanopleura,2017,24,4,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Cirrhilabrus,Cirrhilabrus cyanopleura
Cirrhilabrus cyanopleura,2019,8,1,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Cirrhilabrus,Cirrhilabrus cyanopleura
Cirrhilabrus exquisitus,2015,28,7,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Cirrhilabrus,Cirrhilabrus exquisitus
Cirrhilabrus exquisitus,2016,13,3,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Cirrhilabrus,Cirrhilabrus exquisitus
Cirrhilabrus exquisitus,2017,8,1,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Cirrhilabrus,Cirrhilabrus exquisitus
Cirrhilabrus exquisitus,2018,10,3,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Cirrhilabrus,Cirrhilabrus exquisitus
Cirrhilabrus exquisitus,2019,7,2,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Cirrhilabrus,Cirrhilabrus exquisitus
Cirrhilabrus filamentosus,2018,2,1,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Cirrhilabrus,Cirrhilabrus filamentosus
Cirrhilabrus lubbocki,2015,12,4,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Cirrhilabrus,Cirrhilabrus lubbocki
Cirrhilabrus lubbocki,2016,18,4,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Cirrhilabrus,Cirrhilabrus lubbocki
Cirrhilabrus lubbocki,2017,18,3,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Cirrhilabrus,Cirrhilabrus lubbocki
Cirrhilabrus lubbocki,2018,12,2,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Cirrhilabrus,Cirrhilabrus lubbocki
Cirrhilabrus lubbocki,2019,14,3,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Cirrhilabrus,Cirrhilabrus lubbocki
Cirrhilabrus solorensis,2015,10,5,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Cirrhilabrus,Cirrhilabrus solorensis
Cirrhilabrus solorensis,2016,2,1,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Cirrhilabrus,Cirrhilabrus solorensis
Cirrhilabrus solorensis,2017,16,4,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Cirrhilabrus,Cirrhilabrus solorensis
Cirrhilabrus solorensis,2019,2,1,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Cirrhilabrus,Cirrhilabrus solorensis
Cirrhitichthys falco,2017,6,4,Animalia,Chordata,Actinopterygii,Perciformes,Cirrhitidae,Cirrhitichthys,Cirrhitichthys falco
Cirrhitichthys falco,2018,11,2,Animalia,Chordata,Actinopterygii,Perciformes,Cirrhitidae,Cirrhitichthys,Cirrhitichthys falco
Cirrhitichthys falco,2019,1,1,Animalia,Chordata,Actinopterygii,Perciformes,Cirrhitidae,Cirrhitichthys,Cirrhitichthys falco
Cirrhitichthys oxycephalus,2019,3,2,Animalia,Chordata,Actinopterygii,Perciformes,Cirrhitidae,Cirrhitichthys,Cirrhitichthys oxycephalus
Cirripectes heemstraorum,2016,5,1,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Cirripectes,Cirripectes heemstraorum
Cirripectes stigmaticus,2019,1,1,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Cirripectes,Cirripectes stigmaticus
Cirripectes variolosus,2016,8,3,Animalia,Chordata,Actinopterygii,Perciformes,Blenniidae,Cirripectes,Cirripectes variolosus
Cladiella krempfi,2015,5,1,Animalia,Cnidaria,Anthozoa,Alcyonacea,Alcyoniidae,Cladiella,Cladiella krempfi
Cladiella pauciflora,2015,2,1,Animalia,Cnidaria,Anthozoa,Alcyonacea,Alcyoniidae,Cladiella,Cladiella pauciflora
Cladiella pauciflora,2017,4,2,Animalia,Cnidaria,Anthozoa,Alcyonacea,Alcyoniidae,Cladiella,Cladiella pauciflora
Cladiella sp.,2016,5,2,Animalia,Cnidaria,Anthozoa,Alcyonacea,Alcyoniidae,Cladiella,NA
Clavularia viridis,2015,6,1,Animalia,Cnidaria,Anthozoa,Alcyonacea,Clavulariidae,Clavularia,Clavularia viridis
Clavularia viridis,2016,4,1,Animalia,Cnidaria,Anthozoa,Alcyonacea,Clavulariidae,Clavularia,Clavularia viridis
Clavularia viridis,2017,2,2,Animalia,Cnidaria,Anthozoa,Alcyonacea,Clavulariidae,Clavularia,Clavularia viridis
Cleithracara maronii,2016,20,1,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Cleithracara,Cleithracara maronii
Cleithracara maronii,2019,200,1,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Cleithracara,Cleithracara maronii
Clibanarius digueti,2016,100,1,Animalia,Arthropoda,Malacostraca,Decapoda,Diogenidae,Clibanarius,Clibanarius digueti
Clibanarius tricolor,2017,20,1,Animalia,Arthropoda,Malacostraca,Decapoda,Diogenidae,Clibanarius,Clibanarius tricolor
Coelastrea aspera,2017,7,2,Animalia,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Coelastrea,Coelastrea aspera
Coelastrea aspera,2019,2,2,Animalia,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Coelastrea,Coelastrea aspera
Colossoma macropomum,2017,160,1,Animalia,Chordata,Actinopterygii,Characiformes,Serrasalmidae,Colossoma,Colossoma macropomum
Copadichromis borleyi,2016,10,1,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Copadichromis,Copadichromis borleyi
Copadichromis borleyi,2017,6,1,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Copadichromis,Copadichromis borleyi
Copadichromis borleyi,2019,60,1,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Copadichromis,Copadichromis borleyi
Copadichromis chrysonotus,2017,26,2,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Copadichromis,Copadichromis chrysonotus
Coris cuvieri,2015,3,2,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Coris,Coris cuvieri
Coris cuvieri,2016,2,1,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Coris,Coris cuvieri
Coris formosa,2016,1,1,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Coris,Coris formosa
Coris gaimard,2015,1,1,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Coris,Coris gaimard
Coris gaimard,2016,5,3,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Coris,Coris gaimard
Coris gaimard,2017,12,4,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Coris,Coris gaimard
Coris gaimard,2018,5,2,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Coris,Coris gaimard
Coris gaimard,2019,3,2,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Coris,Coris gaimard
Corydoras adolfoi,2015,50,1,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras adolfoi
Corydoras adolfoi,2016,80,1,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras adolfoi
Corydoras adolfoi,2019,340,2,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras adolfoi
Corydoras aeneus,2015,2680,15,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras aeneus
Corydoras aeneus,2016,3005,20,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras aeneus
Corydoras aeneus,2017,1680,8,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras aeneus
Corydoras aeneus,2018,5980,30,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras aeneus
Corydoras aeneus,2019,5273,27,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras aeneus
Corydoras agassizii,2015,30,1,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras agassizii
Corydoras arcuatus,2016,40,1,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras arcuatus
Corydoras arcuatus,2018,30,1,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras arcuatus
Corydoras arcuatus,2019,66,1,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras arcuatus
Corydoras axelrodi,2016,180,1,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras axelrodi
Corydoras axelrodi,2017,180,1,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras axelrodi
Corydoras axelrodi,2019,86,1,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras axelrodi
Corydoras caudimaculatus,2015,500,4,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras caudimaculatus
Corydoras caudimaculatus,2018,220,1,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras caudimaculatus
Corydoras caudimaculatus,2019,280,3,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras caudimaculatus
Corydoras elegans,2017,50,1,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras elegans
Corydoras griseus,2019,30,1,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras griseus
Corydoras habrosus,2016,120,2,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras habrosus
Corydoras habrosus,2018,360,2,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras habrosus
Corydoras habrosus,2019,180,1,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras habrosus
Corydoras hastatus,2019,180,1,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras hastatus
Corydoras julii,2015,2010,10,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras julii
Corydoras julii,2016,1510,9,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras julii
Corydoras julii,2017,1520,7,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras julii
Corydoras julii,2018,3010,17,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras julii
Corydoras julii,2019,1570,9,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras julii
Corydoras melanistius,2016,30,1,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras melanistius
Corydoras melanistius,2017,40,1,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras melanistius
Corydoras melanotaenia,2017,40,1,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras melanotaenia
Corydoras melini,2016,90,2,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras melini
Corydoras melini,2018,119,1,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras melini
Corydoras melini,2019,281,3,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras melini
Corydoras paleatus,2015,3310,18,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras paleatus
Corydoras paleatus,2016,3175,17,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras paleatus
Corydoras paleatus,2017,3530,16,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras paleatus
Corydoras paleatus,2018,5825,27,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras paleatus
Corydoras paleatus,2019,3420,16,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras paleatus
Corydoras panda,2015,80,2,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras panda
Corydoras panda,2016,630,8,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras panda
Corydoras panda,2017,1151,4,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras panda
Corydoras panda,2018,1470,10,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras panda
Corydoras panda,2019,1120,8,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras panda
Corydoras pygmaeus,2015,590,2,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras pygmaeus
Corydoras pygmaeus,2016,500,3,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras pygmaeus
Corydoras pygmaeus,2017,700,2,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras pygmaeus
Corydoras pygmaeus,2018,1390,6,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras pygmaeus
Corydoras pygmaeus,2019,180,1,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras pygmaeus
Corydoras similis,2016,220,1,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras similis
Corydoras similis,2017,220,1,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras similis
Corydoras similis,2019,220,1,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras similis
Corydoras splendens,2015,2910,15,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras splendens
Corydoras splendens,2016,560,4,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras splendens
Corydoras splendens,2017,760,4,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras splendens
Corydoras splendens,2018,1650,10,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras splendens
Corydoras splendens,2019,840,6,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras splendens
Corydoras sterbai,2015,1300,9,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras sterbai
Corydoras sterbai,2016,710,8,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras sterbai
Corydoras sterbai,2017,880,7,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras sterbai
Corydoras sterbai,2018,1210,11,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras sterbai
Corydoras sterbai,2019,907,7,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Corydoras,Corydoras sterbai
Cromileptes altivelis,2016,3,3,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Cromileptes,Cromileptes altivelis
Cromileptes altivelis,2017,1,1,Animalia,Chordata,Actinopterygii,Perciformes,Serranidae,Cromileptes,Cromileptes altivelis
Crossocheilus oblongus,2015,4580,11,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Crossocheilus,Crossocheilus oblongus
Crossocheilus oblongus,2016,4500,9,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Crossocheilus,Crossocheilus oblongus
Crossocheilus oblongus,2017,2400,5,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Crossocheilus,Crossocheilus oblongus
Crossocheilus oblongus,2018,4310,13,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Crossocheilus,Crossocheilus oblongus
Crossocheilus oblongus,2019,1700,7,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Crossocheilus,Crossocheilus oblongus
Cryptocentrus cinctus,2015,17,5,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Cryptocentrus,Cryptocentrus cinctus
Cryptocentrus cinctus,2016,40,8,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Cryptocentrus,Cryptocentrus cinctus
Cryptocentrus cinctus,2017,51,6,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Cryptocentrus,Cryptocentrus cinctus
Cryptocentrus cinctus,2018,28,3,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Cryptocentrus,Cryptocentrus cinctus
Cryptocentrus cinctus,2019,12,3,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Cryptocentrus,Cryptocentrus cinctus
Cryptocentrus cyanotaenia,2016,5,1,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Cryptocentrus,Cryptocentrus cyanotaenia
Cryptocentrus leptocephalus,2016,11,2,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Cryptocentrus,Cryptocentrus leptocephalus
Cryptocentrus leptocephalus,2017,37,3,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Cryptocentrus,Cryptocentrus leptocephalus
Ctenochaetus hawaiiensis,2015,1,1,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Ctenochaetus,Ctenochaetus hawaiiensis
Ctenochaetus hawaiiensis,2016,2,2,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Ctenochaetus,Ctenochaetus hawaiiensis
Ctenochaetus hawaiiensis,2017,1,1,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Ctenochaetus,Ctenochaetus hawaiiensis
Ctenochaetus sp.,2015,3,1,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Ctenochaetus,NA
Ctenochaetus striatus,2015,17,5,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Ctenochaetus,Ctenochaetus striatus
Ctenochaetus striatus,2016,14,7,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Ctenochaetus,Ctenochaetus striatus
Ctenochaetus striatus,2017,11,3,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Ctenochaetus,Ctenochaetus striatus
